epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
0,0.9640719890594482,0.0409352071583271,0.1551651805639267,1e-04,0.9747812151908875,0.0874239057302475,0.08806656301021576
1,0.9721131324768066,0.26635146141052246,0.0778554379940033,1e-04,0.9674951434135437,0.3394094407558441,0.07801503688097
2,0.974357008934021,0.3351743817329407,0.06742747873067856,1e-04,0.9757615923881531,0.24351947009563446,0.06577176600694656
3,0.9767431020736694,0.3922058045864105,0.05911507084965706,1e-04,0.9734793901443481,0.31063416600227356,0.07146768271923065
4,0.9806354641914368,0.48568111658096313,0.04864504560828209,1e-04,0.9732545018196106,0.3240669369697571,0.07208704203367233
5,0.9842154383659363,0.5562099814414978,0.03946080431342125,1e-04,0.9731407761573792,0.30088114738464355,0.07865636050701141
6,0.9878338575363159,0.6341179013252258,0.029673323035240173,1e-05,0.973842978477478,0.30148744583129883,0.08284591138362885
7,0.989788293838501,0.6873385310173035,0.024689052253961563,1e-05,0.9732166528701782,0.32068732380867004,0.09007131308317184
