epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6242424249649048,2.4919116497039795,0.001,0.783687949180603,0.545185387134552
1,0.6651515364646912,0.679088294506073,0.001,0.7978723645210266,0.6745556592941284
2,0.6166666746139526,0.6837599277496338,0.001,0.8156028389930725,0.6582779288291931
3,0.6590909361839294,0.6771616339683533,0.001,0.7730496525764465,0.648391842842102
4,0.6378787755966187,0.6669713854789734,0.000100000005,0.7996453642845154,0.5377405881881714
5,0.6303030252456665,0.6615033745765686,0.000100000005,0.7996453642845154,0.5810880661010742
6,0.6621212363243103,0.6441729664802551,0.000100000005,0.7890070676803589,0.5580577850341797
7,0.6590909361839294,0.6523723006248474,0.000100000005,0.792553186416626,0.5680614113807678
8,0.6621212363243103,0.6446533799171448,1.0000001e-05,0.7978723645210266,0.5650818347930908
9,0.6651515364646912,0.6424854397773743,1.0000001e-05,0.7854610085487366,0.5583202838897705
0,0.5939394235610962,3.363232374191284,0.001,0.7978723645210266,0.6140543222427368
1,0.668181836605072,0.6720194816589355,0.001,0.7996453642845154,0.5310637354850769
2,0.6636363863945007,0.6562764048576355,0.001,0.7535461187362671,0.6168752908706665
3,0.6393939256668091,0.6659654378890991,0.001,0.8085106611251831,0.564636766910553
4,0.653030276298523,0.6776091456413269,0.001,0.7783687710762024,0.6147087812423706
5,0.6727272868156433,0.6399933099746704,0.000100000005,0.7960993051528931,0.5692928433418274
6,0.6560605764389038,0.6463298201560974,0.000100000005,0.7748227119445801,0.5706931352615356
