epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6590909361839294,0.8787937164306641,0.001,0.7056737542152405,0.5855434536933899
1,0.7227272987365723,0.5731178522109985,0.001,0.7765957713127136,0.4835635721683502
2,0.760606050491333,0.4887743890285492,0.001,0.7890070676803589,0.42182937264442444
3,0.7651515007019043,0.480286568403244,0.001,0.7819148898124695,0.4457966685295105
4,0.7439393997192383,0.5260146260261536,0.001,0.8244680762290955,0.3898647725582123
5,0.739393949508667,0.5200845003128052,0.001,0.8085106611251831,0.4118908643722534
6,0.7636363506317139,0.4835457503795624,0.001,0.6241135001182556,0.6655364632606506
7,0.7545454502105713,0.5255358815193176,0.001,0.8067376017570496,0.44102418422698975
8,0.7651515007019043,0.4751514792442322,0.000100000005,0.7695035338401794,0.4615773558616638
9,0.8151515126228333,0.4214959740638733,0.000100000005,0.7996453642845154,0.4332799017429352
